Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Uts1QFB4u2YNIMiqcb4de,"peekaboo (feat. azchike)","GNX","Kendrick Lamar;AZ Chike",2024-11-22,155917,76,true,kootlefoosh,2026-03-19T21:02:22Z,"hip hop,west coast hip hop,hyphy","pgLang, under exclusive license to Interscope Records",0.889,0.298,1,-9.086,1,0.182,0.00306,0.0000126,0.173,0.314,100.042,4
spotify:track:7ouMYWpwJ422jRcDASZB7P,"Knights of Cydonia","Black Holes and Revelations","Muse",2006-06-28,366213,72,false,kootlefoosh,2026-03-26T04:37:17Z,"alternative rock,rock","Warner Records",0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,4
spotify:track:5OyWN37xTdZtjbSQ15FA8K,"Shop","UNDERTALE Soundtrack","Toby Fox",2015-09-15,50274,58,false,kootlefoosh,2026-03-29T06:11:43Z,"soundtrack","Materia Collective",0.696,0.3,8,-12.647,1,0.0321,0.985,0.681,0.17,0.849,154.923,4
spotify:track:2tudvzsrR56uom6smgOcSf,"Like That","WE DON'T TRUST YOU","Future;Metro Boomin;Kendrick Lamar",2024-03-22,267706,84,true,kootlefoosh,2026-03-29T23:45:37Z,"rap,hip hop,west coast hip hop","Wilburn Holding Co./Boominati/Epic/Republic",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
spotify:track:4EivmOT13NMpNSfTKn9p4s,"Like That (feat. Gucci Mane)","Hot Pink","Doja Cat;Gucci Mane",2019-11-07,163167,78,true,kootlefoosh,2026-03-29T23:45:45Z,"southern hip hop,rap,trap","Kemosabe Records/RCA Records",0.879,0.498,4,-6.027,0,0.18,0.239,0,0.0967,0.405,106.044,4
spotify:track:4d77usuB6m2mgNNuPWv6ta,"Walkers Beware! We Drive into the Sun - Single Version","Walkers Beware! We Drive into the Sun / Stab-Slow","Sweet Trip",2021-01-15,211034,25,false,kootlefoosh,2026-03-30T21:29:42Z,"shoegaze,dream pop,idm","Darla",0.626,0.617,1,-9.593,0,0.026,0.00455,0.484,0.222,0.82,115.994,3
spotify:track:4alHo6RGd0D3OUbTPExTHN,"Just What I Needed","The Cars","The Cars",1978-06-06,225626,74,false,kootlefoosh,2026-03-31T20:13:36Z,"power pop,new wave,classic rock","Elektra Records",0.62,0.579,4,-9.307,1,0.0473,0.0152,0.000064,0.0858,0.691,127.215,4
spotify:track:0GTK6TesV108Jj5D3MHsYb,"Owner of a Lonely Heart","90125 (Deluxe Version)","Yes",1983-06-01,268506,75,false,kootlefoosh,2026-03-31T20:22:12Z,"progressive rock,art rock,aor","Rhino Atlantic",0.744,0.798,7,-5.981,1,0.0364,0.176,0.0037,0.26,0.898,125.059,4
spotify:track:2tAeN2TKlQLOoSPXtARzBV,"Eruption - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,102080,63,false,kootlefoosh,2026-04-05T18:28:15Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,4
spotify:track:7Hqig8kp32q2Ire3ECQvWM,"Paparazzi","The Fame","Lady Gaga",2008-01-01,208306,77,true,kootlefoosh,2026-04-09T05:55:29Z,"art pop,pop","Interscope",0.762,0.692,5,-3.973,0,0.0437,0.112,0,0.094,0.397,114.903,4
